Category	Shortening	SWC	FC	WP	RWC	SHC (cm/h)	¦Ë	SG	SF(cm)
0	Ocean	0.001	0	0	0	0	0	1	0
1	S	0.3825	0.15	0.04	0.03475	11.78	0.836	1	4.95
2	LS	0.41	0.19	0.05	0.046	2.99	0.691	1	6.13
3	SL	0.4225	0.27	0.09	0.06725	1.09	0.547	1	11.01
4	SiL	0.4725	0.35	0.15	0.0365	0.65	0.321	4	16.68
5	Si	0.48	0.34	0.11	0.04	0.52	0.3	2	12.54	
6	L	0.44	0.3	0.14	0.06	0.34	0.368	2	8.89
7	SCL	0.425	0.29	0.16	0.11225	0.15	0.402	3	21.85
8	SiCL	0.465	0.41	0.24	0.09325	0.10	0.237	4	27.30
9	CL	0.4525	0.36	0.21	0.1155	0.10	0.308	4	20.88
10	SC	0.42	0.33	0.21	0.109	0.06	0.223	4	23.90
11	SiC	0.4525	0.43	0.28	0.1085	0.05	0.208	4	29.22
12	C	0.4525	0.4	0.28	0.1405	0.03	0.219	4	31.63
